content
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp105000. Diskon pertama 15% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp80325"
"B: Rp90325"
"C: Rp72325"
"D: Rp85325"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp110000. Diskon pertama 20% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp74800"
"B: Rp84800"
"C: Rp66800"
"D: Rp79800"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp115000. Diskon pertama 25% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp81937"
"B: Rp91937"
"C: Rp73937"
"D: Rp86937"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp120000. Diskon pertama 10% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp97200"
"B: Rp107200"
"C: Rp89200"
"D: Rp102200"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp125000. Diskon pertama 15% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp90312"
"B: Rp100312"
"C: Rp82312"
"D: Rp95312"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp130000. Diskon pertama 20% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp98800"
"B: Rp108800"
"C: Rp90800"
"D: Rp103800"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp135000. Diskon pertama 25% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp91125"
"B: Rp101125"
"C: Rp83125"
"D: Rp96125"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp140000. Diskon pertama 10% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp107100"
"B: Rp117100"
"C: Rp99100"
"D: Rp112100"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp145000. Diskon pertama 15% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp117087"
"B: Rp127087"
"C: Rp109087"
"D: Rp122087"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp150000. Diskon pertama 20% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp108000"
"B: Rp118000"
"C: Rp100000"
"D: Rp113000"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp155000. Diskon pertama 25% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp98812"
"B: Rp108812"
"C: Rp90812"
"D: Rp103812"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp160000. Diskon pertama 10% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp136800"
"B: Rp146800"
"C: Rp128800"
"D: Rp141800"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp165000. Diskon pertama 15% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp126225"
"B: Rp136225"
"C: Rp118225"
"D: Rp131225"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp170000. Diskon pertama 20% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp115600"
"B: Rp125600"
"C: Rp107600"
"D: Rp120600"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp175000. Diskon pertama 25% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp124687"
"B: Rp134687"
"C: Rp116687"
"D: Rp129687"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp180000. Diskon pertama 10% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp145800"
"B: Rp155800"
"C: Rp137800"
"D: Rp150800"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp185000. Diskon pertama 15% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp133662"
"B: Rp143662"
"C: Rp125662"
"D: Rp138662"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp190000. Diskon pertama 20% lalu diskon kedua 5% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp144400"
"B: Rp154400"
"C: Rp136400"
"D: Rp149400"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp195000. Diskon pertama 25% lalu diskon kedua 10% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp131625"
"B: Rp141625"
"C: Rp123625"
"D: Rp136625"
"Kunci: A"
""
"TYPE: MC"
"Stimulus: Toko memberikan diskon bertahap pada barang tertentu."
"Q: Harga awal barang Rp200000. Diskon pertama 10% lalu diskon kedua 15% dari harga setelah diskon pertama. Berapa harga akhirnya?"
"A: Rp153000"
"B: Rp163000"
"C: Rp145000"
"D: Rp158000"
"Kunci: A"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
"Q: Jika uang Ana Rp130000, pernyataan mana yang benar?"
"A: Uang Budi adalah Rp216666."
"B: Jumlah uang mereka Rp346666."
"C: Jumlah uang mereka Rp366666."
"D: Uang Budi adalah Rp150000."
"Kunci: A,B"
""
"TYPE: MR"
"Stimulus: Perbandingan uang Ana dan Budi adalah 3:5."
